case_id,doc_id,doc_name,mention_id,char_start,char_end,text,entity_type,group_id,canonical_text,notes
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_001,80,93,Sigrid Brekke,PER,per_sigrid_brekke,Sigrid Brekke,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_002,110,120,Lars Hauge,PER,per_lars_hauge,Lars Hauge,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_003,127,141,Maria Skoglund,PER,per_maria_skoglund,Maria Skoglund,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_004,200,216,Emily Inglethorp,PER,per_emily_inglethorp,Emily Inglethorp,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_005,1876,1889,Sigrid Brekke,PER,per_sigrid_brekke,Sigrid Brekke,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_006,662,677,knust kaffekopp,ITEM,item_kaffekopp,knust kaffekopp,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_007,1073,1086,dokumentmappe,ITEM,item_dokumentmappe,dokumentmappe,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_008,1237,1246,iPhone 14,ITEM,item_iphone,iPhone 14,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_009,1173,1203,tom flaske merket kloralhydrat,ITEM,item_kloralhydrat_flaske,tom flaske merket kloralhydrat,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_010,1025,1043,grønn tekstilfiber,ITEM,item_tekstilfiber,grønn tekstilfiber,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_011,813,845,ringformet flekk av hvit stearin,ITEM,item_stearin,ringformet flekk av hvit stearin,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_012,712,744,Teppefibrene bar rester av væske,ITEM,item_vaeskeprove,Teppefibrene bar rester av væske,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_013,1723,1730,fiberen,ITEM,item_tekstilfiber,grønn tekstilfiber,
styles_case,d9744dc6c34c1924d2945ce1fba8cfd6,156120-00002 - Åstedsrapport.docx,m_014,909,919,kasserolle,ITEM,item_kasserolle,kasserolle,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_015,91,101,Lars Aasen,PER,per_lars_aasen,Lars Aasen,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_016,121,133,Edel Solheim,PER,per_edel_solheim,Edel Solheim,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_017,153,167,John Cavendish,PER,per_john_cavendish,John Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_018,243,257,Mary Cavendish,PER,per_mary_cavendish,Mary Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_019,270,288,Lawrence Cavendish,PER,per_lawrence_cavendish,Lawrence Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_020,543,557,John Cavendish,PER,per_john_cavendish,John Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_021,949,957,Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_022,926,934,Lawrence,PER,per_lawrence_cavendish,Lawrence Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_023,1207,1224,Alfred Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_024,1162,1168,Alfred,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_025,1660,1673,Evelyn Howard,PER,per_evelyn_howard,Evelyn Howard,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_026,63,75,Styles Court,LOC,loc_styles_court,Styles Court,
